void Simulation::allocateMemory(): 0.0000033800s
double Simulation::minDistance(int idx): 0.0000349210s
double Simulation::minDistance(int idx): 0.0000163200s
double Simulation::minDistance(int idx): 0.0000693910s
double Simulation::minDistance(int idx): 0.0000378510s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000455110s
double Simulation::minDistance(int idx): 0.0000371810s
double Simulation::minDistance(int idx): 0.0000145300s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000141200s
double Simulation::minDistance(int idx): 0.0000693610s
double Simulation::minDistance(int idx): 0.0000369000s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000425600s
double Simulation::minDistance(int idx): 0.0000143200s
double Simulation::minDistance(int idx): 0.0000348200s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000174110s
double Simulation::minDistance(int idx): 0.0000671520s
double Simulation::minDistance(int idx): 0.0000430200s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000143110s
double Simulation::minDistance(int idx): 0.0000360400s
double Simulation::minDistance(int idx): 0.0000583310s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000910910s
double Simulation::minDistance(int idx): 0.0000671410s
double Simulation::minDistance(int idx): 0.0000334800s
double Simulation::minDistance(int idx): 0.0000008700s
double Simulation::minDistance(int idx): 0.0000779010s
double Simulation::minDistance(int idx): 0.0000551210s
double Simulation::minDistance(int idx): 0.0000006100s
double Simulation::minDistance(int idx): 0.0000104800s
double Simulation::minDistance(int idx): 0.0000815620s
double Simulation::minDistance(int idx): 0.0000256600s
double Simulation::minDistance(int idx): 0.0000591710s
double Simulation::minDistance(int idx): 0.0000008510s
double Simulation::minDistance(int idx): 0.0000131510s
double Simulation::minDistance(int idx): 0.0000445710s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000711710s
double Simulation::minDistance(int idx): 0.0000378510s
double Simulation::minDistance(int idx): 0.0000498010s
double Simulation::minDistance(int idx): 0.0000160100s
double Simulation::minDistance(int idx): 0.0000008400s
double Simulation::minDistance(int idx): 0.0000522910s
double Simulation::minDistance(int idx): 0.0000589610s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000096500s
double Simulation::minDistance(int idx): 0.0000775010s
double Simulation::minDistance(int idx): 0.0000526000s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000121200s
double Simulation::minDistance(int idx): 0.0000643310s
double Simulation::minDistance(int idx): 0.0000433510s
double Simulation::minDistance(int idx): 0.0000189500s
double Simulation::minDistance(int idx): 0.0000007800s
double Simulation::minDistance(int idx): 0.0000595710s
double Simulation::minDistance(int idx): 0.0000128300s
double Simulation::minDistance(int idx): 0.0000359510s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000218700s
double Simulation::minDistance(int idx): 0.0000436700s
double Simulation::minDistance(int idx): 0.0000665610s
double Simulation::minDistance(int idx): 0.0000008500s
double Simulation::minDistance(int idx): 0.0000628310s
double Simulation::minDistance(int idx): 0.0000133300s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000390110s
double Simulation::minDistance(int idx): 0.0000202300s
double Simulation::minDistance(int idx): 0.0000462010s
double Simulation::minDistance(int idx): 0.0000007400s
double Simulation::minDistance(int idx): 0.0000702110s
double Simulation::minDistance(int idx): 0.0000636410s
double Simulation::minDistance(int idx): 0.0000186500s
double Simulation::minDistance(int idx): 0.0000420610s
double Simulation::minDistance(int idx): 0.0000007700s
double Simulation::minDistance(int idx): 0.0000124510s
double Simulation::minDistance(int idx): 0.0000701510s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000352200s
double Simulation::minDistance(int idx): 0.0000453100s
double Simulation::minDistance(int idx): 0.0000380900s
double Simulation::minDistance(int idx): 0.0000161400s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000138000s
double Simulation::minDistance(int idx): 0.0000700210s
double Simulation::minDistance(int idx): 0.0000374410s
double Simulation::minDistance(int idx): 0.0000005810s
double Simulation::minDistance(int idx): 0.0000463410s
double Simulation::minDistance(int idx): 0.0000390710s
double Simulation::minDistance(int idx): 0.0000145500s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000620310s
double Simulation::minDistance(int idx): 0.0000137000s
double Simulation::minDistance(int idx): 0.0000357410s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000628210s
double Simulation::minDistance(int idx): 0.0000006100s
double Simulation::minDistance(int idx): 0.0000128500s
double Simulation::minDistance(int idx): 0.0000355210s
double Simulation::minDistance(int idx): 0.0000618510s
double Simulation::minDistance(int idx): 0.0000156600s
double Simulation::minDistance(int idx): 0.0000376800s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000639310s
double Simulation::minDistance(int idx): 0.0000126010s
double Simulation::minDistance(int idx): 0.0000355800s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000622110s
double Simulation::minDistance(int idx): 0.0000122700s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000352510s
double Simulation::minDistance(int idx): 0.0000595110s
double Simulation::minDistance(int idx): 0.0000156400s
double Simulation::minDistance(int idx): 0.0000374310s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000138310s
double Simulation::minDistance(int idx): 0.0000744720s
double Simulation::minDistance(int idx): 0.0000391500s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000467400s
double Simulation::minDistance(int idx): 0.0000143500s
double Simulation::minDistance(int idx): 0.0000384200s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000143410s
double Simulation::minDistance(int idx): 0.0000599210s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000355000s
double Simulation::minDistance(int idx): 0.0000585110s
double Simulation::minDistance(int idx): 0.0000381910s
double Simulation::minDistance(int idx): 0.0000141610s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000128800s
double Simulation::minDistance(int idx): 0.0000555210s
double Simulation::minDistance(int idx): 0.0000354110s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000563710s
double Simulation::minDistance(int idx): 0.0000122800s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000355100s
double Simulation::minDistance(int idx): 0.0000588910s
double Simulation::minDistance(int idx): 0.0000143400s
double Simulation::minDistance(int idx): 0.0000361000s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000556210s
double Simulation::minDistance(int idx): 0.0000124110s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000355010s
double Simulation::minDistance(int idx): 0.0000589100s
double Simulation::minDistance(int idx): 0.0000141110s
double Simulation::minDistance(int idx): 0.0000360510s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000564610s
double Simulation::minDistance(int idx): 0.0000124400s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000355110s
double Simulation::minDistance(int idx): 0.0000584610s
double Simulation::minDistance(int idx): 0.0000139600s
double Simulation::minDistance(int idx): 0.0000357600s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000575610s
double Simulation::minDistance(int idx): 0.0000123000s
double Simulation::minDistance(int idx): 0.0000355400s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000564110s
double Simulation::minDistance(int idx): 0.0000124700s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000355100s
double Simulation::minDistance(int idx): 0.0000595610s
double Simulation::minDistance(int idx): 0.0000149410s
double Simulation::minDistance(int idx): 0.0000368810s
double Simulation::minDistance(int idx): 0.0000012000s
double Simulation::minDistance(int idx): 0.0000615610s
double Simulation::minDistance(int idx): 0.0000394510s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000101700s
double Simulation::minDistance(int idx): 0.0000130000s
double Simulation::minDistance(int idx): 0.0000538910s
double Simulation::minDistance(int idx): 0.0000006100s
double Simulation::minDistance(int idx): 0.0000351600s
double Simulation::minDistance(int idx): 0.0000583310s
double Simulation::minDistance(int idx): 0.0000140400s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000351800s
double Simulation::minDistance(int idx): 0.0000583300s
double Simulation::minDistance(int idx): 0.0000377400s
double Simulation::minDistance(int idx): 0.0000158300s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000144410s
double Simulation::minDistance(int idx): 0.0000585310s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000350700s
double Simulation::minDistance(int idx): 0.0000636010s
double Simulation::minDistance(int idx): 0.0000142700s
double Simulation::minDistance(int idx): 0.0000375810s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000623810s
double Simulation::minDistance(int idx): 0.0000123200s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000352410s
double Simulation::minDistance(int idx): 0.0000591210s
double Simulation::minDistance(int idx): 0.0000150800s
double Simulation::minDistance(int idx): 0.0000371200s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000575910s
double Simulation::minDistance(int idx): 0.0000137010s
double Simulation::minDistance(int idx): 0.0000355400s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000624010s
double Simulation::minDistance(int idx): 0.0000139800s
double Simulation::minDistance(int idx): 0.0000356910s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000622110s
double Simulation::minDistance(int idx): 0.0000138600s
double Simulation::minDistance(int idx): 0.0000357410s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000581010s
double Simulation::minDistance(int idx): 0.0000138300s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000359910s
double Simulation::minDistance(int idx): 0.0000146610s
double Simulation::minDistance(int idx): 0.0000740410s
double Simulation::minDistance(int idx): 0.0000414800s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000125800s
double Simulation::minDistance(int idx): 0.0000404310s
double Simulation::minDistance(int idx): 0.0000477710s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000565500s
double Simulation::minDistance(int idx): 0.0000121410s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000350010s
double Simulation::minDistance(int idx): 0.0000498610s
double Simulation::minDistance(int idx): 0.0000155800s
double Simulation::minDistance(int idx): 0.0000372610s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000581610s
double Simulation::minDistance(int idx): 0.0000136600s
double Simulation::minDistance(int idx): 0.0000367700s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000630110s
double Simulation::minDistance(int idx): 0.0000417400s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0000127800s
double Simulation::minDistance(int idx): 0.0000550710s
double Simulation::minDistance(int idx): 0.0000133100s
double Simulation::minDistance(int idx): 0.0000354000s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000571200s
double Simulation::minDistance(int idx): 0.0000122410s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000350710s
double Simulation::minDistance(int idx): 0.0000601310s
double Simulation::minDistance(int idx): 0.0000154900s
double Simulation::minDistance(int idx): 0.0000373110s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000564910s
double Simulation::minDistance(int idx): 0.0000136200s
double Simulation::minDistance(int idx): 0.0000351210s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000564810s
double Simulation::minDistance(int idx): 0.0000137100s
double Simulation::minDistance(int idx): 0.0000353600s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000613810s
double Simulation::minDistance(int idx): 0.0000177300s
double Simulation::minDistance(int idx): 0.0000391400s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000567310s
double Simulation::minDistance(int idx): 0.0000138610s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000355810s
double Simulation::minDistance(int idx): 0.0000588010s
double Simulation::minDistance(int idx): 0.0000142800s
double Simulation::minDistance(int idx): 0.0000371010s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000563110s
double Simulation::minDistance(int idx): 0.0000121600s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000350010s
double Simulation::minDistance(int idx): 0.0000606310s
double Simulation::minDistance(int idx): 0.0000156200s
double Simulation::minDistance(int idx): 0.0000373600s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000200100s
double Simulation::minDistance(int idx): 0.0000414900s
double Simulation::minDistance(int idx): 0.0000007100s
double Simulation::minDistance(int idx): 0.0001721730s
double Simulation::minDistance(int idx): 0.0001134620s
double Simulation::minDistance(int idx): 0.0000918420s
double Simulation::minDistance(int idx): 0.0000007400s
double Simulation::minDistance(int idx): 0.0000689720s
double Simulation::minDistance(int idx): 0.0000764710s
double Simulation::minDistance(int idx): 0.0000214710s
double Simulation::minDistance(int idx): 0.0000007300s
double Simulation::minDistance(int idx): 0.0000444610s
double Simulation::avgMinDistance(): 0.0077806060s
void Simulation::updateVelocity(): 0.0008591030s
void Simulation::updatePosition(): 0.0000012600s
void Simulation::preventMoveAgainstForce(): 0.0000007500s
void Simulation::step(): 0.0008912340s
void Simulation::updateVelocity(): 0.0007816020s
void Simulation::updatePosition(): 0.0000009600s
void Simulation::preventMoveAgainstForce(): 0.0000067300s
void Simulation::step(): 0.0008204030s
void Simulation::updateVelocity(): 0.0006759800s
void Simulation::updatePosition(): 0.0000009710s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0007018210s
void Simulation::updateVelocity(): 0.0007895120s
void Simulation::updatePosition(): 0.0000039300s
void Simulation::preventMoveAgainstForce(): 0.0000008900s
void Simulation::step(): 0.0008178020s
void Simulation::updateVelocity(): 0.0006525400s
void Simulation::updatePosition(): 0.0000010600s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0006751400s
void Simulation::updateVelocity(): 0.0006650910s
void Simulation::updatePosition(): 0.0000009900s
void Simulation::preventMoveAgainstForce(): 0.0000006000s
void Simulation::step(): 0.0006900110s
void Simulation::updateVelocity(): 0.0006463600s
void Simulation::updatePosition(): 0.0000009600s
void Simulation::preventMoveAgainstForce(): 0.0000006210s
void Simulation::step(): 0.0006710410s
void Simulation::updateVelocity(): 0.0006504100s
void Simulation::updatePosition(): 0.0000060100s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0006796500s
void Simulation::updateVelocity(): 0.0006454700s
void Simulation::updatePosition(): 0.0000032500s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0006692210s
void Simulation::updateVelocity(): 0.0007258110s
void Simulation::updatePosition(): 0.0000017200s
void Simulation::preventMoveAgainstForce(): 0.0000007300s
void Simulation::step(): 0.0007652220s
void Simulation::updateVelocity(): 0.0011819280s
void Simulation::updatePosition(): 0.0000053500s
void Simulation::preventMoveAgainstForce(): 0.0000008200s
void Simulation::step(): 0.0012162690s
void Simulation::updateVelocity(): 0.0011575680s
void Simulation::updatePosition(): 0.0000012700s
void Simulation::preventMoveAgainstForce(): 0.0000006100s
void Simulation::step(): 0.0011852390s
void Simulation::updateVelocity(): 0.0011010170s
void Simulation::updatePosition(): 0.0000052600s
void Simulation::preventMoveAgainstForce(): 0.0000007400s
void Simulation::step(): 0.0011299770s
void Simulation::updateVelocity(): 0.0010386670s
void Simulation::updatePosition(): 0.0000011700s
void Simulation::preventMoveAgainstForce(): 0.0000006300s
void Simulation::step(): 0.0010631970s
void Simulation::updateVelocity(): 0.0010253060s
void Simulation::updatePosition(): 0.0000046600s
void Simulation::preventMoveAgainstForce(): 0.0000006900s
void Simulation::step(): 0.0010531970s
void Simulation::updateVelocity(): 0.0010479160s
void Simulation::updatePosition(): 0.0000015500s
void Simulation::preventMoveAgainstForce(): 0.0000005900s
void Simulation::step(): 0.0010726970s
void Simulation::updateVelocity(): 0.0010575060s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000006200s
void Simulation::step(): 0.0010845470s
void Simulation::updateVelocity(): 0.0010545760s
void Simulation::updatePosition(): 0.0000110400s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010930670s
void Simulation::updateVelocity(): 0.0010554460s
void Simulation::updatePosition(): 0.0000011600s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010792270s
void Simulation::updateVelocity(): 0.0010452960s
void Simulation::updatePosition(): 0.0000012300s
void Simulation::preventMoveAgainstForce(): 0.0000006300s
void Simulation::step(): 0.0010692870s
void Simulation::updateVelocity(): 0.0010400560s
void Simulation::updatePosition(): 0.0000031300s
void Simulation::preventMoveAgainstForce(): 0.0000006800s
void Simulation::step(): 0.0010661960s
void Simulation::updateVelocity(): 0.0010350770s
void Simulation::updatePosition(): 0.0000012300s
void Simulation::preventMoveAgainstForce(): 0.0000006400s
void Simulation::step(): 0.0010591370s
void Simulation::updateVelocity(): 0.0010351160s
void Simulation::updatePosition(): 0.0000012100s
void Simulation::preventMoveAgainstForce(): 0.0000006300s
void Simulation::step(): 0.0010593670s
void Simulation::updateVelocity(): 0.0010682270s
void Simulation::updatePosition(): 0.0000012400s
void Simulation::preventMoveAgainstForce(): 0.0000006000s
void Simulation::step(): 0.0010968070s
void Simulation::updateVelocity(): 0.0010603270s
void Simulation::updatePosition(): 0.0000034600s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010899970s
void Simulation::updateVelocity(): 0.0010656170s
void Simulation::updatePosition(): 0.0000012300s
void Simulation::preventMoveAgainstForce(): 0.0000007000s
void Simulation::step(): 0.0010933970s
void Simulation::updateVelocity(): 0.0010538870s
void Simulation::updatePosition(): 0.0000048700s
void Simulation::preventMoveAgainstForce(): 0.0000007800s
void Simulation::step(): 0.0010820370s
void Simulation::updateVelocity(): 0.0010385170s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000006600s
void Simulation::step(): 0.0010631270s
void Simulation::updateVelocity(): 0.0010493970s
void Simulation::updatePosition(): 0.0000054900s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010778170s
void Simulation::updateVelocity(): 0.0010588470s
void Simulation::updatePosition(): 0.0000012400s
void Simulation::preventMoveAgainstForce(): 0.0000006200s
void Simulation::step(): 0.0010829570s
void Simulation::updateVelocity(): 0.0010485270s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000007000s
void Simulation::step(): 0.0010770570s
void Simulation::updateVelocity(): 0.0010056260s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000006800s
void Simulation::step(): 0.0010329760s
void Simulation::updateVelocity(): 0.0010036760s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0010361670s
void Simulation::updateVelocity(): 0.0009992750s
void Simulation::updatePosition(): 0.0000062000s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010288460s
void Simulation::updateVelocity(): 0.0010004760s
void Simulation::updatePosition(): 0.0000047100s
void Simulation::preventMoveAgainstForce(): 0.0000007100s
void Simulation::step(): 0.0010282260s
void Simulation::updateVelocity(): 0.0010072860s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000006900s
void Simulation::step(): 0.0010317160s
void Simulation::updateVelocity(): 0.0010015360s
void Simulation::updatePosition(): 0.0000012200s
void Simulation::preventMoveAgainstForce(): 0.0000006900s
void Simulation::step(): 0.0010262160s
void Simulation::updateVelocity(): 0.0010184660s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000006300s
void Simulation::step(): 0.0010461770s
void Simulation::updateVelocity(): 0.0010195360s
void Simulation::updatePosition(): 0.0000061500s
void Simulation::preventMoveAgainstForce(): 0.0000006600s
void Simulation::step(): 0.0010515860s
void Simulation::updateVelocity(): 0.0010617430s
void Simulation::updatePosition(): 0.0000014000s
void Simulation::preventMoveAgainstForce(): 0.0000007400s
void Simulation::step(): 0.0010981130s
void Simulation::updateVelocity(): 0.0010359570s
void Simulation::updatePosition(): 0.0000010000s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0010622070s
void Simulation::updateVelocity(): 0.0010563470s
void Simulation::updatePosition(): 0.0000056600s
void Simulation::preventMoveAgainstForce(): 0.0000006100s
void Simulation::step(): 0.0010880770s
void Simulation::updateVelocity(): 0.0011996390s
void Simulation::updatePosition(): 0.0000009800s
void Simulation::preventMoveAgainstForce(): 0.0000006110s
void Simulation::step(): 0.0012260100s
void Simulation::updateVelocity(): 0.0010333560s
void Simulation::updatePosition(): 0.0000009700s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0010584260s
void Simulation::updateVelocity(): 0.0010204760s
void Simulation::updatePosition(): 0.0000010000s
void Simulation::preventMoveAgainstForce(): 0.0000040500s
void Simulation::step(): 0.0010776570s
void Simulation::updateVelocity(): 0.0010231260s
void Simulation::updatePosition(): 0.0000008900s
void Simulation::preventMoveAgainstForce(): 0.0000006100s
void Simulation::step(): 0.0010483370s
void Simulation::updateVelocity(): 0.0010036450s
void Simulation::updatePosition(): 0.0000009900s
