void Simulation::allocateMemory(): 0.0000049400s
double Simulation::minDistance(int idx): 0.0000125600s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000125300s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000122300s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000125010s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000125600s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000163210s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000125000s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000122410s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000123500s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000123500s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000124300s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000124200s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000126300s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000125400s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000124200s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000139500s
double Simulation::minDistance(int idx): 0.0000084600s
double Simulation::minDistance(int idx): 0.0000004400s
double Simulation::minDistance(int idx): 0.0000097700s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000096610s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000091800s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000094800s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000180400s
double Simulation::minDistance(int idx): 0.0000009300s
double Simulation::minDistance(int idx): 0.0000133200s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000098200s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000149600s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000095500s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000096200s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000150200s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0000152500s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0000176500s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000105000s
double Simulation::minDistance(int idx): 0.0000245810s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000355910s
double Simulation::minDistance(int idx): 0.0000078300s
double Simulation::minDistance(int idx): 0.0000005500s
double Simulation::minDistance(int idx): 0.0000098700s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000098200s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000262800s
double Simulation::minDistance(int idx): 0.0000019400s
double Simulation::minDistance(int idx): 0.0000148600s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000108300s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000094400s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000093000s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000093000s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000093400s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000148500s
double Simulation::minDistance(int idx): 0.0000006810s
double Simulation::minDistance(int idx): 0.0000204700s
double Simulation::minDistance(int idx): 0.0000008800s
double Simulation::minDistance(int idx): 0.0000150800s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000140400s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000107900s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000063500s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000186900s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000096100s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000100900s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000180910s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000099800s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000181610s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000101400s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000180810s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000096800s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000101700s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000099900s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000180700s
double Simulation::minDistance(int idx): 0.0000004910s
double Simulation::minDistance(int idx): 0.0000100500s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000180110s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000102300s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000180210s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000100700s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000179010s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000097200s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000179010s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000097500s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000098310s
double Simulation::minDistance(int idx): 0.0000005010s
double Simulation::minDistance(int idx): 0.0000102400s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000178810s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000101000s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000096400s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000099700s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000180500s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000100500s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000106300s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000121700s
double Simulation::minDistance(int idx): 0.0000142910s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000461210s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000120200s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000115710s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000101900s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000096800s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000097100s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000097400s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000096800s
double Simulation::minDistance(int idx): 0.0000004910s
double Simulation::minDistance(int idx): 0.0000100200s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000095710s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000096100s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000107510s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000102800s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000101210s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000098400s
double Simulation::minDistance(int idx): 0.0000144800s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000103300s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000163500s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000159600s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000098600s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000099700s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000096900s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000096200s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000094400s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000095300s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000098200s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000096410s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000097300s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000096100s
double Simulation::minDistance(int idx): 0.0000004900s
double Simulation::minDistance(int idx): 0.0000092100s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000096500s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000095800s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000095900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000097910s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000099900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000097300s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000127100s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092400s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000086800s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000092200s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000092810s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000091600s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000097300s
double Simulation::minDistance(int idx): 0.0000008200s
double Simulation::minDistance(int idx): 0.0000096300s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000091200s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000100600s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000094300s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000089910s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000090200s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092000s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000097400s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000234500s
double Simulation::minDistance(int idx): 0.0000009700s
double Simulation::minDistance(int idx): 0.0000172200s
double Simulation::minDistance(int idx): 0.0000007500s
double Simulation::minDistance(int idx): 0.0000178900s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000107100s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000092700s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000094900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000094300s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000091810s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000094900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000090900s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092400s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092600s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000099800s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000096100s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000092010s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000102600s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000094200s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000105600s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000108200s
double Simulation::minDistance(int idx): 0.0000004610s
double Simulation::minDistance(int idx): 0.0000092000s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000127500s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000166010s
double Simulation::minDistance(int idx): 0.0000004800s
double Simulation::minDistance(int idx): 0.0000100500s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000092110s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000089600s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000090200s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000092600s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000093800s
double Simulation::minDistance(int idx): 0.0000004610s
double Simulation::minDistance(int idx): 0.0000092200s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000093300s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000099910s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000094100s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000091800s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000093000s
double Simulation::minDistance(int idx): 0.0000004600s
double Simulation::minDistance(int idx): 0.0000091400s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000094610s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::avgMinDistance(): 0.0059339040s
void Simulation::updateVelocity(): 0.0014348830s
void Simulation::updatePosition(): 0.0000012900s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0014662330s
void Simulation::updateVelocity(): 0.0013247710s
void Simulation::updatePosition(): 0.0000014700s
void Simulation::preventMoveAgainstForce(): 0.0000008000s
void Simulation::step(): 0.0013533510s
void Simulation::updateVelocity(): 0.0013779120s
void Simulation::updatePosition(): 0.0000012200s
void Simulation::preventMoveAgainstForce(): 0.0000005800s
void Simulation::step(): 0.0014087430s
void Simulation::updateVelocity(): 0.0013173500s
void Simulation::updatePosition(): 0.0000012600s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0013424110s
void Simulation::updateVelocity(): 0.0012671300s
void Simulation::updatePosition(): 0.0000059700s
void Simulation::preventMoveAgainstForce(): 0.0000006300s
void Simulation::step(): 0.0012941300s
void Simulation::updateVelocity(): 0.0012701900s
void Simulation::updatePosition(): 0.0000012300s
void Simulation::preventMoveAgainstForce(): 0.0000005300s
void Simulation::step(): 0.0012916400s
void Simulation::updateVelocity(): 0.0012492100s
void Simulation::updatePosition(): 0.0000012400s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0012709100s
void Simulation::updateVelocity(): 0.0012485200s
void Simulation::updatePosition(): 0.0000099600s
void Simulation::preventMoveAgainstForce(): 0.0000006100s
void Simulation::step(): 0.0012787700s
void Simulation::updateVelocity(): 0.0013290300s
void Simulation::updatePosition(): 0.0000013000s
void Simulation::preventMoveAgainstForce(): 0.0000004900s
void Simulation::step(): 0.0013553210s
void Simulation::updateVelocity(): 0.0012360490s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000005900s
void Simulation::step(): 0.0012573900s
void Simulation::updateVelocity(): 0.0012794800s
void Simulation::updatePosition(): 0.0000011200s
void Simulation::preventMoveAgainstForce(): 0.0000005000s
void Simulation::step(): 0.0013013300s
void Simulation::updateVelocity(): 0.0013077010s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000005400s
void Simulation::step(): 0.0013362210s
void Simulation::updateVelocity(): 0.0012556300s
void Simulation::updatePosition(): 0.0000012200s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0012778500s
void Simulation::updateVelocity(): 0.0012551900s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000005300s
void Simulation::step(): 0.0012770300s
void Simulation::updateVelocity(): 0.0012786000s
void Simulation::updatePosition(): 0.0000012500s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0013034210s
void Simulation::updateVelocity(): 0.0012553390s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0012767900s
void Simulation::updateVelocity(): 0.0012568800s
void Simulation::updatePosition(): 0.0000011400s
void Simulation::preventMoveAgainstForce(): 0.0000005200s
void Simulation::step(): 0.0012789000s
void Simulation::updateVelocity(): 0.0012631500s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000005100s
void Simulation::step(): 0.0012849300s
void Simulation::updateVelocity(): 0.0012675900s
void Simulation::updatePosition(): 0.0000012200s
void Simulation::preventMoveAgainstForce(): 0.0000005300s
void Simulation::step(): 0.0012888900s
void Simulation::updateVelocity(): 0.0013258510s
void Simulation::updatePosition(): 0.0000055900s
void Simulation::preventMoveAgainstForce(): 0.0000006000s
void Simulation::step(): 0.0013554620s
void Simulation::updateVelocity(): 0.0012932900s
void Simulation::updatePosition(): 0.0000064900s
void Simulation::preventMoveAgainstForce(): 0.0000006000s
void Simulation::step(): 0.0013239610s
void Simulation::updateVelocity(): 0.0012564090s
void Simulation::updatePosition(): 0.0000011400s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0012786100s
void Simulation::updateVelocity(): 0.0013029200s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0013311910s
void Simulation::updateVelocity(): 0.0012652090s
void Simulation::updatePosition(): 0.0000012500s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0012868100s
void Simulation::updateVelocity(): 0.0012736800s
void Simulation::updatePosition(): 0.0000026700s
void Simulation::preventMoveAgainstForce(): 0.0000006000s
void Simulation::step(): 0.0013009400s
void Simulation::updateVelocity(): 0.0012465400s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000006400s
void Simulation::step(): 0.0012682700s
void Simulation::updateVelocity(): 0.0012878800s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000006900s
void Simulation::step(): 0.0013096010s
void Simulation::updateVelocity(): 0.0012809900s
void Simulation::updatePosition(): 0.0000011300s
void Simulation::preventMoveAgainstForce(): 0.0000005300s
void Simulation::step(): 0.0013022700s
void Simulation::updateVelocity(): 0.0013175710s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000005600s
void Simulation::step(): 0.0013424810s
void Simulation::updateVelocity(): 0.0012924110s
void Simulation::updatePosition(): 0.0000012000s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0013141810s
void Simulation::updateVelocity(): 0.0012981410s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000007300s
void Simulation::step(): 0.0013261210s
void Simulation::updateVelocity(): 0.0012844100s
void Simulation::updatePosition(): 0.0000011200s
void Simulation::preventMoveAgainstForce(): 0.0000005000s
void Simulation::step(): 0.0013063100s
void Simulation::updateVelocity(): 0.0013193800s
void Simulation::updatePosition(): 0.0000011300s
void Simulation::preventMoveAgainstForce(): 0.0000005300s
void Simulation::step(): 0.0013471110s
void Simulation::updateVelocity(): 0.0013120600s
void Simulation::updatePosition(): 0.0000011700s
void Simulation::preventMoveAgainstForce(): 0.0000005400s
void Simulation::step(): 0.0013363110s
void Simulation::updateVelocity(): 0.0013046100s
void Simulation::updatePosition(): 0.0000012110s
void Simulation::preventMoveAgainstForce(): 0.0000005900s
void Simulation::step(): 0.0013305110s
void Simulation::updateVelocity(): 0.0012876200s
void Simulation::updatePosition(): 0.0000012500s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0013111200s
void Simulation::updateVelocity(): 0.0013477110s
void Simulation::updatePosition(): 0.0000011600s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0013729520s
void Simulation::updateVelocity(): 0.0013058800s
void Simulation::updatePosition(): 0.0000011900s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0013275610s
void Simulation::updateVelocity(): 0.0012754700s
void Simulation::updatePosition(): 0.0000012300s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0012970800s
void Simulation::updateVelocity(): 0.0013071210s
void Simulation::updatePosition(): 0.0000011500s
void Simulation::preventMoveAgainstForce(): 0.0000005000s
void Simulation::step(): 0.0013288610s
void Simulation::updateVelocity(): 0.0013344710s
void Simulation::updatePosition(): 0.0000011800s
void Simulation::preventMoveAgainstForce(): 0.0000005400s
void Simulation::step(): 0.0013593210s
void Simulation::updateVelocity(): 0.0013503620s
void Simulation::updatePosition(): 0.0000012500s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0013727020s
void Simulation::updateVelocity(): 0.0012731200s
void Simulation::updatePosition(): 0.0000011400s
void Simulation::preventMoveAgainstForce(): 0.0000005500s
void Simulation::step(): 0.0012946400s
void Simulation::updateVelocity(): 0.0013393110s
void Simulation::updatePosition(): 0.0000011500s
void Simulation::preventMoveAgainstForce(): 0.0000005200s
void Simulation::step(): 0.0013643920s
void Simulation::updateVelocity(): 0.0013268910s
void Simulation::updatePosition(): 0.0000011600s
void Simulation::preventMoveAgainstForce(): 0.0000005700s
void Simulation::step(): 0.0013512410s
void Simulation::updateVelocity(): 0.0014059460s
void Simulation::updatePosition(): 0.0000017600s
void Simulation::preventMoveAgainstForce(): 0.0000007200s
void Simulation::step(): 0.0014470570s
void Simulation::updateVelocity(): 0.0016368060s
void Simulation::updatePosition(): 0.0000011500s
