void Simulation::allocateMemory(): 0.0000027800s
double Simulation::minDistance(int idx): 0.0000988320s
double Simulation::minDistance(int idx): 0.0000150000s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000429810s
double Simulation::minDistance(int idx): 0.0000732910s
double Simulation::minDistance(int idx): 0.0001141820s
double Simulation::minDistance(int idx): 0.0000126500s
double Simulation::minDistance(int idx): 0.0000387200s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000898020s
double Simulation::minDistance(int idx): 0.0000658710s
double Simulation::minDistance(int idx): 0.0001247720s
double Simulation::minDistance(int idx): 0.0000728510s
double Simulation::minDistance(int idx): 0.0000162210s
double Simulation::minDistance(int idx): 0.0000420610s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000962320s
double Simulation::minDistance(int idx): 0.0001003220s
double Simulation::minDistance(int idx): 0.0000921810s
double Simulation::minDistance(int idx): 0.0000414210s
double Simulation::minDistance(int idx): 0.0000135000s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000662910s
double Simulation::minDistance(int idx): 0.0001118320s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000127210s
double Simulation::minDistance(int idx): 0.0000879520s
double Simulation::minDistance(int idx): 0.0000384510s
double Simulation::minDistance(int idx): 0.0000630010s
double Simulation::minDistance(int idx): 0.0001110120s
double Simulation::minDistance(int idx): 0.0000005300s
double Simulation::minDistance(int idx): 0.0000870810s
double Simulation::minDistance(int idx): 0.0000111300s
double Simulation::minDistance(int idx): 0.0000608310s
double Simulation::minDistance(int idx): 0.0000362110s
double Simulation::minDistance(int idx): 0.0001108720s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000115900s
double Simulation::minDistance(int idx): 0.0000376110s
double Simulation::minDistance(int idx): 0.0000625210s
double Simulation::minDistance(int idx): 0.0000881110s
double Simulation::minDistance(int idx): 0.0001103820s
double Simulation::minDistance(int idx): 0.0000380810s
double Simulation::minDistance(int idx): 0.0000005400s
double Simulation::minDistance(int idx): 0.0000874510s
double Simulation::minDistance(int idx): 0.0000121600s
double Simulation::minDistance(int idx): 0.0000613910s
double Simulation::minDistance(int idx): 0.0000134200s
double Simulation::minDistance(int idx): 0.0001112920s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000866710s
double Simulation::minDistance(int idx): 0.0000618010s
double Simulation::minDistance(int idx): 0.0000367010s
double Simulation::minDistance(int idx): 0.0001540230s
double Simulation::minDistance(int idx): 0.0000005400s
double Simulation::minDistance(int idx): 0.0000110000s
double Simulation::minDistance(int idx): 0.0000602110s
double Simulation::minDistance(int idx): 0.0000861020s
double Simulation::minDistance(int idx): 0.0000360010s
double Simulation::minDistance(int idx): 0.0001111220s
double Simulation::minDistance(int idx): 0.0000005300s
double Simulation::minDistance(int idx): 0.0000129000s
double Simulation::minDistance(int idx): 0.0000394110s
double Simulation::minDistance(int idx): 0.0000853210s
double Simulation::minDistance(int idx): 0.0000628110s
double Simulation::minDistance(int idx): 0.0001060320s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000109800s
double Simulation::minDistance(int idx): 0.0000576910s
double Simulation::minDistance(int idx): 0.0000824910s
double Simulation::minDistance(int idx): 0.0000355010s
double Simulation::minDistance(int idx): 0.0000153700s
double Simulation::minDistance(int idx): 0.0000708910s
double Simulation::minDistance(int idx): 0.0000412810s
double Simulation::minDistance(int idx): 0.0000880510s
double Simulation::minDistance(int idx): 0.0000007800s
double Simulation::minDistance(int idx): 0.0001116460s
double Simulation::minDistance(int idx): 0.0001459530s
double Simulation::minDistance(int idx): 0.0000068600s
double Simulation::minDistance(int idx): 0.0001382020s
double Simulation::minDistance(int idx): 0.0000817310s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000358110s
double Simulation::minDistance(int idx): 0.0001111720s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000135400s
double Simulation::minDistance(int idx): 0.0000622910s
double Simulation::minDistance(int idx): 0.0000871620s
double Simulation::minDistance(int idx): 0.0000372210s
double Simulation::minDistance(int idx): 0.0000126310s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000366610s
double Simulation::minDistance(int idx): 0.0000849820s
double Simulation::minDistance(int idx): 0.0000618910s
double Simulation::minDistance(int idx): 0.0001144320s
double Simulation::minDistance(int idx): 0.0001127820s
double Simulation::minDistance(int idx): 0.0000412710s
double Simulation::minDistance(int idx): 0.0000649510s
double Simulation::minDistance(int idx): 0.0000170700s
double Simulation::minDistance(int idx): 0.0000876020s
double Simulation::minDistance(int idx): 0.0000007300s
double Simulation::minDistance(int idx): 0.0001165120s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000619510s
double Simulation::minDistance(int idx): 0.0000110500s
double Simulation::minDistance(int idx): 0.0000875420s
double Simulation::minDistance(int idx): 0.0000367210s
double Simulation::minDistance(int idx): 0.0001102820s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000113900s
double Simulation::minDistance(int idx): 0.0000364810s
double Simulation::minDistance(int idx): 0.0000860010s
double Simulation::minDistance(int idx): 0.0000625410s
double Simulation::minDistance(int idx): 0.0001070020s
double Simulation::minDistance(int idx): 0.0000360210s
double Simulation::minDistance(int idx): 0.0000117400s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000842010s
double Simulation::minDistance(int idx): 0.0000591510s
double Simulation::minDistance(int idx): 0.0001112520s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000129100s
double Simulation::minDistance(int idx): 0.0000370710s
double Simulation::minDistance(int idx): 0.0000845610s
double Simulation::minDistance(int idx): 0.0000619910s
double Simulation::minDistance(int idx): 0.0001121020s
double Simulation::minDistance(int idx): 0.0000630310s
double Simulation::minDistance(int idx): 0.0000360000s
double Simulation::minDistance(int idx): 0.0000869910s
double Simulation::minDistance(int idx): 0.0000007400s
double Simulation::minDistance(int idx): 0.0000089100s
double Simulation::minDistance(int idx): 0.0001175320s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000928920s
double Simulation::minDistance(int idx): 0.0000133500s
double Simulation::minDistance(int idx): 0.0000647820s
double Simulation::minDistance(int idx): 0.0000378400s
double Simulation::minDistance(int idx): 0.0000131810s
double Simulation::minDistance(int idx): 0.0001064010s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000362300s
double Simulation::minDistance(int idx): 0.0000575710s
double Simulation::minDistance(int idx): 0.0000808710s
double Simulation::minDistance(int idx): 0.0001071020s
double Simulation::minDistance(int idx): 0.0000371800s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000125610s
double Simulation::minDistance(int idx): 0.0000833920s
double Simulation::minDistance(int idx): 0.0000585810s
double Simulation::minDistance(int idx): 0.0001115620s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000156900s
double Simulation::minDistance(int idx): 0.0000635510s
double Simulation::minDistance(int idx): 0.0000396000s
double Simulation::minDistance(int idx): 0.0000885120s
double Simulation::minDistance(int idx): 0.0001138220s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000109000s
double Simulation::minDistance(int idx): 0.0000839610s
double Simulation::minDistance(int idx): 0.0000606610s
double Simulation::minDistance(int idx): 0.0000357500s
double Simulation::minDistance(int idx): 0.0001087920s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000610910s
double Simulation::minDistance(int idx): 0.0000124500s
double Simulation::minDistance(int idx): 0.0000831020s
double Simulation::minDistance(int idx): 0.0000360700s
double Simulation::minDistance(int idx): 0.0001088720s
double Simulation::minDistance(int idx): 0.0000005300s
double Simulation::minDistance(int idx): 0.0000600710s
double Simulation::minDistance(int idx): 0.0000124800s
double Simulation::minDistance(int idx): 0.0000804910s
double Simulation::minDistance(int idx): 0.0000356200s
double Simulation::minDistance(int idx): 0.0001071120s
double Simulation::minDistance(int idx): 0.0000614610s
double Simulation::minDistance(int idx): 0.0000119200s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000368500s
double Simulation::minDistance(int idx): 0.0000815710s
double Simulation::minDistance(int idx): 0.0001086520s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000129800s
double Simulation::minDistance(int idx): 0.0000595300s
double Simulation::minDistance(int idx): 0.0000359900s
double Simulation::minDistance(int idx): 0.0000844220s
double Simulation::minDistance(int idx): 0.0001111720s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000113010s
double Simulation::minDistance(int idx): 0.0000596810s
double Simulation::minDistance(int idx): 0.0000817220s
double Simulation::minDistance(int idx): 0.0000356810s
double Simulation::minDistance(int idx): 0.0001099020s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000130610s
double Simulation::minDistance(int idx): 0.0000608410s
double Simulation::minDistance(int idx): 0.0000378710s
double Simulation::minDistance(int idx): 0.0000837420s
double Simulation::minDistance(int idx): 0.0001122420s
double Simulation::minDistance(int idx): 0.0000110510s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000577110s
double Simulation::minDistance(int idx): 0.0000826920s
double Simulation::minDistance(int idx): 0.0000356810s
double Simulation::minDistance(int idx): 0.0001093220s
double Simulation::minDistance(int idx): 0.0000394110s
double Simulation::minDistance(int idx): 0.0000142710s
double Simulation::minDistance(int idx): 0.0000622110s
double Simulation::minDistance(int idx): 0.0000843110s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0001136020s
double Simulation::minDistance(int idx): 0.0000126800s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000838120s
double Simulation::minDistance(int idx): 0.0000597310s
double Simulation::minDistance(int idx): 0.0000357510s
double Simulation::minDistance(int idx): 0.0001094820s
double Simulation::minDistance(int idx): 0.0000114000s
double Simulation::minDistance(int idx): 0.0000602910s
double Simulation::minDistance(int idx): 0.0000828610s
double Simulation::minDistance(int idx): 0.0000354110s
double Simulation::minDistance(int idx): 0.0000007800s
double Simulation::minDistance(int idx): 0.0001092820s
double Simulation::minDistance(int idx): 0.0000628410s
double Simulation::minDistance(int idx): 0.0000153000s
double Simulation::minDistance(int idx): 0.0000398610s
double Simulation::minDistance(int idx): 0.0000831020s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0001140320s
double Simulation::minDistance(int idx): 0.0000383810s
double Simulation::minDistance(int idx): 0.0000130000s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000596810s
double Simulation::minDistance(int idx): 0.0000840110s
double Simulation::minDistance(int idx): 0.0001102620s
double Simulation::minDistance(int idx): 0.0000142900s
double Simulation::minDistance(int idx): 0.0000867310s
double Simulation::minDistance(int idx): 0.0000626210s
double Simulation::minDistance(int idx): 0.0000388510s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0001112310s
double Simulation::minDistance(int idx): 0.0000108900s
double Simulation::minDistance(int idx): 0.0000357410s
double Simulation::minDistance(int idx): 0.0000604510s
double Simulation::minDistance(int idx): 0.0000006000s
double Simulation::minDistance(int idx): 0.0000825410s
double Simulation::minDistance(int idx): 0.0000958510s
double Simulation::minDistance(int idx): 0.0000744510s
double Simulation::minDistance(int idx): 0.0000450700s
double Simulation::minDistance(int idx): 0.0000142500s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0001241920s
